TI,PY,SO,DI,topic,topic_terms
The role of the gut microbiome on the efficacy of immune checkpoint inhibitors in Japanese responder patients with advanced non-small cell lung cancer,2019,TRANSLATIONAL LUNG CANCER RESEARCH,10.21037/tlcr.2019.10.23,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Modulation of gut microbiota to overcome resistance to immune checkpoint blockade in cancer immunotherapy,2020,CURRENT OPINION IN PHARMACOLOGY,10.1016/j.coph.2020.06.004,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Anti-PD-1 antibody-activated Th17 cells subvert re-invigoration of antitumor cytotoxic T-lymphocytes via myeloid cell-derived COX-2/PGE2,2023,CANCER IMMUNOLOGY IMMUNOTHERAPY,10.1007/s00262-022-03285-3,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Current Advances and Future Directions for Sensitizing Gastric Cancer to Immune Checkpoint Inhibitors,2025,CANCER MEDICINE,10.1002/cam4.71065,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Fusobacterium Nucleatum in Colorectal Cancer: Relationship Among Immune Modulation, Potential Biomarkers and Therapeutic Implications",2025,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms26199710,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Improved survival in advanced melanoma patients treated with fecal microbiota transplantation using healthy donor stool in combination with anti-PD1: final results of the MIMic phase 1 trial,2025,JOURNAL FOR IMMUNOTHERAPY OF CANCER,10.1136/jitc-2025-012659,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
From dysbiosis to precision therapy: decoding the gut-bladder axis in bladder carcinogenesis,2025,FRONTIERS IN ONCOLOGY,10.3389/fonc.2025.1630726,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Immunotherapy in hepatocellular carcinoma: how will it reshape treatment sequencing?,2023,THERAPEUTIC ADVANCES IN MEDICAL ONCOLOGY,10.1177/17588359221148029,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
"Bugs, drugs, and cancer: can the microbiome be a potential therapeutic target for cancer management?",2019,DRUG DISCOVERY TODAY,10.1016/j.drudis.2019.02.009,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Impact of the Microbiome on Resistance to Cancer Treatment with Chemotherapeutic Agents and Immunotherapy,2022,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms23010488,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Gut microbiome influences efficacy of PD-1-based immunotherapy against epithelial tumors,2018,SCIENCE,10.1126/science.aan3706,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Fusobacterium nucleatum confers chemoresistance by modulating autophagy in oesophageal squamous cell carcinoma,2021,BRITISH JOURNAL OF CANCER,10.1038/s41416-020-01198-5,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Clinical Evidence for Microbiome-Based Strategies in Cancer Immunotherapy: A State-of-the-Art Review,2025,MEDICINA-LITHUANIA,10.3390/medicina61091595,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
What Is Known about Theragnostic Strategies in Colorectal Cancer,2021,BIOMEDICINES,10.3390/biomedicines9020140,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Immunotherapy for renal cell carcinoma: New therapeutic combinations and adverse event management strategies: A review,2024,MEDICINE,10.1097/MD.0000000000038991,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
A Natural Polyphenol Exerts Antitumor Activity and Circumvents Anti-PD-1 Resistance through Effects on the Gut Microbiota,2022,CANCER DISCOVERY,10.1158/2159-8290.CD-21-0808,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Hedgehog blockade remodels the gut microbiota and the intestinal effector CD8+ T cells in a mouse model of mammary carcinoma,2022,LABORATORY INVESTIGATION,10.1038/s41374-022-00828-1,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Trends and hotspots in research related to tumor immune escape: bibliometric analysis and future perspectives,2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1604216,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Gut microbiome in cancer immunotherapy: Current trends, translational challenges and future possibilities",2023,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,10.1016/j.bbagen.2023.130401,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Nab-paclitaxel combined with cadonilimab (AK104) as second-line treatment for advanced gastric cancer: protocol for a phase II prospective, multicenter, single-arm clinical trial",2025,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2025.1519545,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
New Frontiers about the Role of Human Microbiota in Immunotherapy: The Immune Checkpoint Inhibitors and CAR T-Cell Therapy Era,2020,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms21238902,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Drug resistance and new therapies in colorectal cancer,2018,WORLD JOURNAL OF GASTROENTEROLOGY,10.3748/wjg.v24.i34.3834,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Local Delivery of Immunomodulatory Antibodies for Gastrointestinal Tumors,2023,CANCERS,10.3390/cancers15082352,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
"Harnessing the Gut Microbiome in Cancer Immunotherapy: Mechanisms, Challenges, and Routes to Personalized Medicine-A Systematic Review",2025,TECHNOLOGY IN CANCER RESEARCH & TREATMENT,10.1177/15330338251365700,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Microbial biomarkers for immune checkpoint blockade therapy against cancer,2018,JOURNAL OF GASTROENTEROLOGY,10.1007/s00535-018-1492-9,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Immuno-Metabolism and Microenvironment in Cancer: Key Players for Immunotherapy,2020,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms21124414,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Harnessing dietary polyunsaturated fatty acids through gut microbiota to enhance ferroptosis in breast cancer therapy,2025,NUTRITION RESEARCH,10.1016/j.nutres.2025.07.007,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Fusobacterium nucleatum: a novel immune modulator in breast cancer?,2023,EXPERT REVIEWS IN MOLECULAR MEDICINE,10.1017/erm.2023.9,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Landscape of Immunotherapy Resistance in NSCLC,2022,FRONTIERS IN ONCOLOGY,10.3389/fonc.2022.817548,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Gut microbes involvement in gastrointestinal cancers through redox regulation,2023,GUT PATHOGENS,10.1186/s13099-023-00562-z,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Strategies for Predicting Response to Checkpoint Inhibitors,2018,CURRENT HEMATOLOGIC MALIGNANCY REPORTS,10.1007/s11899-018-0471-9,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The impact of the gut microbiome on tumor immunotherapy: from mechanism to application strategies,2023,CELL AND BIOSCIENCE,10.1186/s13578-023-01135-y,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Tumor-Associated Microbiome: Where Do We Stand?,2021,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,10.3390/ijms22031446,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gutting it Out: Developing Effective Immunotherapies for Patients With Colorectal Cancer,2021,JOURNAL OF IMMUNOTHERAPY,10.1097/CJI.0000000000000357,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Precision Delivery of Active Compounds from Edible and Medicinal Plants via Gut Microbiota Targeting: A New Paradigm for Cancer Immunotherapy,2025,NUTRIENTS,10.3390/nu17223591,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Gut Microbiome as a Potential Factor for Modulating Resistance to Cancer Immunotherapy,2020,FRONTIERS IN IMMUNOLOGY,10.3389/fimmu.2019.02989,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Applications of traditional Chinese medicine in cancer immunotherapy via gut microbiota modulation: Current status, mechanisms, challenges and perspectives",2025,PHARMACOLOGICAL RESEARCH,10.1016/j.phrs.2025.108020,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Immunotherapy induced enterocolitis and gastritis - What to do and when?,2020,BEST PRACTICE & RESEARCH CLINICAL GASTROENTEROLOGY,10.1016/j.bpg.2020.101703,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Immunotherapy resistance in non-small cell lung cancer: from mechanisms to therapeutic opportunities,2025,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,10.1186/s13046-025-03519-z,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Longitudinal analysis of the gut microbiota during anti-PD-1 therapy reveals stable microbial features of response in melanoma patients,2024,CELL HOST & MICROBE,10.1016/j.chom.2024.10.006,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Gut Microbiome Associates with Immune Checkpoint Inhibition Outcomes in Patients with Advanced Non-Small Cell Lung Cancer,2020,CANCER IMMUNOLOGY RESEARCH,10.1158/2326-6066.CIR-20-0196,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Cancer Immunotherapy Biomarker Testing Landscape,2020,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,10.5858/arpa.2018-0584-CP,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"Local Breast Microbiota: A ""New"" Player on the Block",2022,CANCERS,10.3390/cancers14153811,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Role of Human Microbiome in Development and Management of Head and Neck Squamous Cell Carcinoma,2025,CANCERS,10.3390/cancers17132238,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Tumor immune microenvironment and nano-immunotherapeutics in colorectal cancer,2019,NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,10.1016/j.nano.2019.102034,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Complex interactions between the microbiome and cancer immune therapy,2019,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,10.1080/10408363.2019.1660303,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Synergistic Interactions Between Probiotics and Anticancer Drugs: Mechanisms, Benefits, and Challenges",2025,PROBIOTICS AND ANTIMICROBIAL PROTEINS,10.1007/s12602-025-10462-0,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Antibiotics are associated with decreased progression-free survival of advanced melanoma patients treated with immune checkpoint inhibitors,2019,ONCOIMMUNOLOGY,10.1080/2162402X.2019.1568812,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Stem cell-based therapies in inflammatory bowel disease: promises and pitfalls,2016,THERAPEUTIC ADVANCES IN GASTROENTEROLOGY,10.1177/1756283X16642190,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Identification of the Crucial Role of CCL22 in F. nucleatum-Related Colorectal Tumorigenesis that Correlates With Tumor Microenvironment and Immune Checkpoint Therapy,2022,FRONTIERS IN GENETICS,10.3389/fgene.2022.811900,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Gut Microbiota and Ferroptosis in Colorectal Cancer: A Comprehensive Review of Mechanisms and Therapeutic Strategies to Overcome Immune Checkpoint Resistance,2025,BIOMOLECULES,10.3390/biom15111546,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Screening costs associated with donor selection for fecal microbiota transplantation for treatment of PD-1 refractory melanoma patients,2023,MELANOMA RESEARCH,10.1097/CMR.0000000000000871,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Leveraging immune resistance archetypes in solid cancer to inform next-generation anticancer therapies,2023,JOURNAL FOR IMMUNOTHERAPY OF CANCER,10.1136/jitc-2022-006533,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Innovative approaches in HELICOBACTER pylori therapy: Clinical trials and advancements in Gastro-Retentive drug delivery systems,2025,ARAB JOURNAL OF GASTROENTEROLOGY,10.1016/j.ajg.2025.09.010,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fecal microbiota transplantation plus immune checkpoint inhibitor rechallenges in patients with advanced non-small cell lung cancer: a single-arm exploratory study,2025,TRANSLATIONAL LUNG CANCER RESEARCH,10.21037/tlcr-2025-973,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Dietary pattern and the corresponding gut microbiome in response to immunotherapy in Thai patients with advanced non-small cell lung cancer (NSCLC),2024,SCIENTIFIC REPORTS,10.1038/s41598-024-79339-6,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
MiCK: a database of gut microbial genes linked with chemoresistance in cancer patients,2024,DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,10.1093/database/baae124,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Biomarkers for predicting efficacy of PD-1/PD-L1 inhibitors,2018,MOLECULAR CANCER,10.1186/s12943-018-0864-3,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Beyond single biomarkers: multi-omics strategies to predict immunotherapy outcomes in blood cancers,2025,CLINICAL AND EXPERIMENTAL MEDICINE,10.1007/s10238-025-01902-w,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Anticancer Properties of Curcumin and Interactions With the Circadian Timing System,2019,INTEGRATIVE CANCER THERAPIES,10.1177/1534735419889154,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Next Wave of Targets in the Treatment of Advanced Renal Cell Carcinoma,2022,CURRENT ONCOLOGY,10.3390/curroncol29080429,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
